Congress,Years, 
1st,1789-91, 
2nd,1791-93, 
3rd,1793-95, 
4th,1795-97, 
5th,1797-99, 
6th,1799-1801, 
7th,1801-03, 
8th,1803-05, 
9th,1805-07, 
10th,1807-09, 
11th,1809-11, 
12th,1811-13, 
13th,1813-15, 
14th,1815-17, 
15th,1817-19, 
16th,1819-21, 
17th,1821-23, 
18th,1823-25, 
19th,1825-27, 
20th,1827-29, 
21st,1829-31, 
22nd,1831-33, 
23rd,1833-35, 
24th,1835-37, 
25th,1837-39, 
26th,1839-41, 
27th,1841-43, 
28th,1843-45, 
29th,1845-47, 
30th,1947-49, 
31st,1849-51, 
32nd,1851-53, 
33rd,1853-55, 
34th,1855-57, 
35th,1857-59, 
36th,1859-61, 
37th,1861-63,
38th,1863-65,
39th,1865-67,
40th,1867-69,
41st,1869-71,
42nd,1871-73,
43rd,1873-75,
44th,1875-77,
45th,1877-79,
46th,1879-81,
47th,1881-83,
48th,1883-85,
49th,1885-87,
50th,1887-89,
51st,1889-91,
52nd,1891-93,
53rd,1893-95,
54th,1895-97,
55th,1897-99,
56th,1899-1901,
57th,1901-03,
58th,1903-05,
59th,1905-07,
60th,1907-09,
61st,1909-11,
62nd,1911-13,
63rd,1913-15,
64th,1915-17,
65th,1917-19,
66th,1919-21,
67th,1921-23,
68th,1923-25,
69th,1925-27,
70th,1927-29,
71st,1929-31,
72nd,1931-33,
73rd,1933-34,
74th,1935-36,
75th,1937-38,
76th,1939-41,
77th,1941-42,
78th,1943-44,
79th,1945-46,
80th,1947-48,
81st,1949-51,
82nd,1951-52,
83rd,1953-54,
84th,1955-56,
85th,1957-58,
86th,1959-60,
87th,1961-62,
88th,1963-64,
89th,1965-66,
90th,1967-68,
91st,1969-71,
92nd,1971-72,
93rd,1973-74,
94th,1975-76,
95th,1977-78,
96th,1979-80,
97th,1981-82,
98th,1983-84,
99th,1985-86,
100th,1987-88,
101st,1989-90,
102nd,1991-92,
103rd,1993-94,
104th,1995-96,
105th,1997-98,
106th,1999-2000,
107th,2001-2002,
108th,2003-2004,
109th,2005-2006,
110th,2007-2008,
111th,2009-2010,
112th,2011-2012,
113th,2013-2014,
