"","Congress","Party","Office","No.Afr.Am","No.Hisp.Am","No.Women"
"1",100,"D","House",22,10,12
"2",100,"D","Senate",0,0,1
"3",100,"R","House",0,1,11
"4",100,"R","Senate",0,0,1
"5",101,"D","House",23,9,14
"6",101,"D","Senate",0,0,1
"7",101,"R","House",0,1,11
"8",101,"R","Senate",0,0,1
"9",102,"D","House",25,10,19
"10",102,"D","Senate",0,0,1
"11",102,"R","House",1,1,9
"12",102,"R","Senate",0,0,1
"13",103,"D","House",38,14,36
"14",103,"D","Senate",1,0,5
"15",103,"R","House",1,3,12
"16",103,"R","Senate",0,0,1
"17",104,"D","House",37,14,31
"18",104,"D","Senate",1,0,5
"19",104,"R","House",2,3,17
"20",104,"R","Senate",0,0,3
"21",105,"D","House",36,14,35
"22",105,"D","Senate",1,0,6
"23",105,"R","House",1,3,16
"24",105,"R","Senate",0,0,3
"25",106,"D","House",36,16,40
"26",106,"D","Senate",0,0,6
"27",106,"R","House",1,3,16
"28",106,"R","Senate",0,0,3
"29",107,"D","House",35,16,41
"30",107,"D","Senate",0,0,10
"31",107,"R","House",1,3,18
"32",107,"R","Senate",0,0,3
"33",108,"D","House",37,18,38
"34",108,"D","Senate",0,0,9
"35",108,"R","House",0,4,21
"36",108,"R","Senate",0,0,5
"37",109,"D","House",40,19,42
"38",109,"D","Senate",1,1,9
"39",109,"R","House",0,4,23
"40",109,"R","Senate",0,1,5
"41",110,"D","House",40,20,50
"42",110,"D","Senate",1,2,11
"43",110,"R","House",0,3,21
"44",110,"R","Senate",0,1,5
"45",111,"D","House",39,21,57
"46",111,"D","Senate",0,1,13
"47",111,"R","House",0,3,17
"48",111,"R","Senate",0,1,4
"49",112,"D","House",40,19,52
"50",112,"D","Senate",0,1,12
"51",112,"R","House",2,8,24
"52",112,"R","Senate",0,1,5
"53",113,"D","House",41,23,56
"54",113,"D","Senate",0,1,16
"55",113,"R","House",0,5,20
"56",113,"R","Senate",1,2,4
"57",65,"D","House",0,1,0
"58",65,"D","House",0,0,0
"59",65,"D","Senate",0,0,0
"60",65,"D","Senate",0,0,0
"61",65,"R","House",0,0,1
"62",65,"R","House",0,0,1
"63",65,"R","Senate",0,0,0
"64",65,"R","Senate",0,0,0
"65",66,"D","House",0,1,0
"66",66,"D","House",0,0,0
"67",66,"D","Senate",0,0,0
"68",66,"D","Senate",0,0,0
"69",66,"R","House",0,1,0
"70",66,"R","House",0,0,0
"71",66,"R","Senate",0,0,0
"72",66,"R","Senate",0,0,0
"73",67,"D","House",0,1,0
"74",67,"D","House",0,0,0
"75",67,"D","Senate",0,0,0
"76",67,"D","Senate",0,0,0
"77",67,"R","House",0,1,2
"78",67,"R","House",0,0,2
"79",67,"R","Senate",0,0,1
"80",67,"R","Senate",0,0,1
"81",68,"D","House",0,1,0
"82",68,"D","House",0,0,0
"83",68,"D","Senate",0,0,0
"84",68,"D","Senate",0,0,0
"85",68,"R","House",0,0,1
"86",68,"R","House",0,0,1
"87",68,"R","Senate",0,0,0
"88",68,"R","Senate",0,0,0
"89",69,"D","House",0,1,1
"90",69,"D","House",0,0,1
"91",69,"D","Senate",0,0,0
"92",69,"D","Senate",0,0,0
"93",69,"R","House",0,0,2
"94",69,"R","House",0,0,2
"95",69,"R","Senate",0,0,0
"96",69,"R","Senate",0,0,0
"97",70,"D","House",0,1,2
"98",70,"D","House",0,0,2
"99",70,"D","Senate",0,0,0
"100",70,"D","Senate",0,0,0
"101",70,"R","House",0,0,3
"102",70,"R","House",0,0,3
"103",70,"R","Senate",0,1,0
"104",70,"R","Senate",0,0,0
"105",71,"D","House",0,0,4
"106",71,"D","Senate",0,0,0
"107",71,"R","House",1,0,5
"108",71,"R","Senate",0,0,0
"109",72,"D","House",0,2,4
"110",72,"D","Senate",0,0,1
"111",72,"R","House",1,0,3
"112",72,"R","Senate",0,0,0
"113",73,"D","House",0,2,4
"114",73,"D","Senate",0,0,1
"115",73,"R","House",1,0,3
"116",73,"R","Senate",0,0,0
"117",74,"D","House",1,1,4
"118",74,"D","Senate",0,1,2
"119",74,"R","House",0,0,2
"120",74,"R","Senate",0,0,0
"121",75,"D","House",1,1,4
"122",75,"D","Senate",0,1,2
"123",75,"R","House",0,0,1
"124",75,"R","Senate",0,0,0
"125",76,"D","House",1,1,4
"126",76,"D","Senate",0,1,1
"127",76,"R","House",0,0,4
"128",76,"R","Senate",0,0,0
"129",77,"D","House",1,0,4
"130",77,"D","Senate",0,1,1
"131",77,"R","House",0,0,5
"132",77,"R","Senate",0,0,0
"133",78,"D","House",1,1,2
"134",78,"D","Senate",0,1,1
"135",78,"R","House",0,0,6
"136",78,"R","Senate",0,0,0
"137",79,"D","House",2,1,6
"138",79,"D","Senate",0,1,0
"139",79,"R","House",0,0,5
"140",79,"R","Senate",0,0,0
"141",80,"D","House",2,1,3
"142",80,"D","Senate",0,1,0
"143",80,"R","House",0,0,4
